[crop] groups=462 unmapped=0
  [Q] Physics_paper_3__TZ2_HL.pdf: 47 recs
  [Q] Physics_paper_1__HL.pdf: 40 recs
  [Q] Physics_paper_2__HL.pdf: 27 recs
  [Q] Physics_paper_3__HL.pdf: 57 recs
  [Q] Physics_paper_1__TZ1_HL.pdf: 40 recs
  [Q] Physics_paper_1__TZ2_HL.pdf: 40 recs
  [Q] Physics_paper_2__TZ1_HL.pdf: 29 recs
  [Q] Physics_paper_2__TZ2_HL.pdf: 30 recs
  [Q] Physics_paper_3__TZ1_HL.pdf: 54 recs
  [Q] Physics_paper_3__TZ2_HL.pdf: 51 recs
  [Q] Physics_paper_1__HL.pdf: 40 recs
  [Q] Physics_paper_2__HL.pdf: 27 recs
  [Q] Physics_paper_3__HL.pdf: 53 recs
  [Q] Physics_paper_1__TZ1_HL.pdf: 40 recs
  [Q] Physics_paper_1__TZ2_HL.pdf: 40 recs
  [Q] Physics_paper_2__TZ1_HL.pdf: 23 recs
  [Q] Physics_paper_2__TZ2_HL.pdf: 34 recs
  [Q] Physics_paper_3__TZ1_HL.pdf: 48 recs
  [Q] Physics_paper_3__TZ2_HL.pdf: 57 recs
  [Q] Physics_paper_1__HL.pdf: 40 recs
  [Q] Physics_paper_2__HL.pdf: 29 recs
  [Q] Physics_paper_3__HL.pdf: 42 recs
  [Q] Physics_paper_1__HL.pdf: 40 recs
  [Q] Physics_paper_2__HL.pdf: 30 recs
  [Q] Physics_paper_3__HL.pdf: 59 recs
  [Q] Physics_paper_1__TZ1_HL.pdf: 40 recs
  [Q] Physics_paper_1__TZ2_HL.pdf: 40 recs
  [Q] Physics_paper_2__TZ1_HL.pdf: 32 recs
  [Q] Physics_paper_2__TZ2_HL.pdf: 30 recs
  [Q] Physics_paper_1__TZ1_HL.pdf: 40 recs
  [Q] Physics_paper_1__TZ2_HL.pdf: 40 recs
  [Q] Physics_paper_2__TZ1_HL.pdf: 32 recs
  [Q] Physics_paper_2__TZ2_HL.pdf: 26 recs
  [Q] Physics_paper_1__HL.pdf: 40 recs
  [Q] Physics_paper_2__HL.pdf: 28 recs
  [Q] Physics_paper_1__TZ1_HL.pdf: 40 recs
  [Q] Physics_paper_1__TZ2_HL.pdf: 40 recs
  [Q] Physics_paper_2__TZ1_HL.pdf: 24 recs
  [Q] Physics_paper_2__TZ2_HL.pdf: 32 recs
  [Q] Physics_paper_3__TZ1_HL.pdf: 59 recs
  [Q] Physics_paper_3__TZ2_HL.pdf: 68 recs
  [Q] Physics_paper_1__TZ1_HL.pdf: 40 recs
  [Q] Physics_paper_1__TZ2_HL.pdf: 40 recs
  [Q] Physics_paper_2__TZ1_HL.pdf: 28 recs
  [Q] Physics_paper_2__TZ2_HL.pdf: 28 recs
  [Q] Physics_paper_3__TZ1_HL.pdf: 49 recs
  [Q] Physics_paper_3__TZ2_HL.pdf: 49 recs
  [Q] Physics_paper_1__TZ1_HL.pdf: 40 recs
  [Q] Physics_paper_1__TZ2_HL.pdf: 40 recs
